   Epoch(us)          MPI      Compute       Memory        Sleep        Total
      0.0000       300000       200000            0            0       500000
      0.0050       385348       114652            0            0       500000
      0.0100       364652       135348            0            0       500000
      0.0150       500000            0            0            0       500000
      0.0200       500000            0            0            0       500000
      0.0250       500000            0            0            0       500000
      0.0300       500000            0            0            0       500000
      0.0350       490000        10000            0            0       500000
      0.0400       500000            0            0            0       500000
      0.0450       500000            0            0            0       500000
      0.0500       500000            0            0            0       500000
      0.0550       481275        18725            0            0       500000
      0.0600       478725        21275            0            0       500000
      0.0650       500000            0            0            0       500000
      0.0700       500000            0            0            0       500000
      0.0750       500000            0            0            0       500000
      0.0800       500000            0            0            0       500000
      0.0850       500000            0            0            0       500000
      0.0900       500000            0            0            0       500000
      0.0950       500000            0            0            0       500000
      0.1000       500000            0            0            0       500000
      0.1050       500000            0            0            0       500000
      0.1100       494791         5209            0            0       500000
      0.1150       443844        56156            0            0       500000
      0.1200       321036        53600       125364            0       500000
      0.1250       284965        15035       200000            0       500000
      0.1300       400640            0        99360            0       500000
      0.1350       403371        10000        86629            0       500000
      0.1400       354419        10000       135581            0       500000
      0.1450       412291        50000        37709            0       500000
      0.1500       401009        33634        65357            0       500000
      0.1550       432910        26366        40724            0       500000
      0.1600       410724        30000        59276            0       500000
      0.1650       387207        40000        72793            0       500000
      0.1700       375070        20000       104930            0       500000
      0.1750       441140            0        58860            0       500000
      0.1800       456400        10000        33600            0       500000
      0.1850       413259        43783        42958            0       500000
      0.1900       338183        16217       145600            0       500000
      0.1950       449892            0        50108            0       500000
      0.2000       450000            0        50000            0       500000
      0.2050       450000        10000        40000            0       500000
      0.2100       341010        39795       119195            0       500000
      0.2150       344915        20205       134880            0       500000
      0.2200       354280         7599       138121            0       500000
      0.2250       409190        22401        68409            0       500000
      0.2300       324665        70533       104802            0       500000
      0.2350       348009        79467        72524            0       500000
      0.2400       495530            0         4470            0       500000
      0.2450       462837        30000         7163            0       500000
      0.2500       343246        44639       112115            0       500000
      0.2550       280734       188544        30722            0       500000
      0.2600       250000       250000            0            0       500000
      0.2650       250000       250000            0            0       500000
      0.2700       250000       250000            0            0       500000
      0.2750       250000       250000            0            0       500000
      0.2800       250000       250000            0            0       500000
      0.2850       250000       250000            0            0       500000
      0.2900       250000       250000            0            0       500000
      0.2950       250000       250000            0            0       500000
      0.3000       250000       250000            0            0       500000
      0.3050       250000       250000            0            0       500000
      0.3100       250000       250000            0            0       500000
      0.3150       250000       250000            0            0       500000
      0.3200       250000       250000            0            0       500000
      0.3250       250000       250000            0            0       500000
      0.3300       250000       250000            0            0       500000
      0.3350       250000       250000            0            0       500000
      0.3400       250000       250000            0            0       500000
      0.3450       250000       250000            0            0       500000
      0.3500       250000       250000            0            0       500000
      0.3550       250000       250000            0            0       500000
      0.3600       250000       250000            0            0       500000
      0.3650       250000       250000            0            0       500000
      0.3700       250000       250000            0            0       500000
      0.3750       250000       250000            0            0       500000
      0.3800       250000       250000            0            0       500000
      0.3850       250000       250000            0            0       500000
      0.3900       250000       250000            0            0       500000
      0.3950       250000       250000            0            0       500000
      0.4000       250000       250000            0            0       500000
      0.4050       250000       250000            0            0       500000
      0.4100       250000       250000            0            0       500000
      0.4150       250000       250000            0            0       500000
      0.4200       250000       250000            0            0       500000
      0.4250       250000       250000            0            0       500000
      0.4300       250000       250000            0            0       500000
      0.4350       250000       250000            0            0       500000
      0.4400       250000       250000            0            0       500000
      0.4450       250000       250000            0            0       500000
      0.4500       250000       250000            0            0       500000
      0.4550       250000       250000            0            0       500000
      0.4600       250000       250000            0            0       500000
      0.4650       250000       250000            0            0       500000
      0.4700       250000       250000            0            0       500000
      0.4750       250000       250000            0            0       500000
      0.4800       250000       250000            0            0       500000
      0.4850       250000       250000            0            0       500000
      0.4900       250000       250000            0            0       500000
      0.4950       250000       250000            0            0       500000
      0.5000       250000       250000            0            0       500000
      0.5050       250000       250000            0            0       500000
      0.5100       250000       250000            0            0       500000
      0.5150       250000       250000            0            0       500000
      0.5200       250000       250000            0            0       500000
      0.5250       250000       250000            0            0       500000
      0.5300       250000       250000            0            0       500000
      0.5350       250000       250000            0            0       500000
      0.5400       250000       250000            0            0       500000
      0.5450       250000       250000            0            0       500000
      0.5500       250000       250000            0            0       500000
      0.5550       250000       250000            0            0       500000
      0.5600       250000       250000            0            0       500000
      0.5650       250000       250000            0            0       500000
      0.5700       250000       250000            0            0       500000
      0.5750       250000       250000            0            0       500000
      0.5800       250000       250000            0            0       500000
      0.5850       250000       250000            0            0       500000
      0.5900       250000       250000            0            0       500000
      0.5950       250000       250000            0            0       500000
      0.6000       250000       250000            0            0       500000
