   Epoch(us)      Compute          MPI        Total
      0.0000 7290710227500 2936992556500 10227702784000
     10.0000 1626309197000 8613690803000 10240000000000
     20.0000 344492760000 9895507240000 10240000000000
     30.0000  25348227500 10214651772500 10240000000000
     40.0000  10000000000 10230000000000 10240000000000
     50.0000  10000000000 10230000000000 10240000000000
     60.0000  10000000000 10230000000000 10240000000000
     70.0000  10000000000 10230000000000 10240000000000
     80.0000  10000000000 10230000000000 10240000000000
     90.0000  10000000000 10230000000000 10240000000000
    100.0000  10000000000 10230000000000 10240000000000
    110.0000  10000000000 10230000000000 10240000000000
    120.0000  10000000000 10230000000000 10240000000000
    130.0000  10000000000 10230000000000 10240000000000
    140.0000  10000000000 10230000000000 10240000000000
    150.0000  10000000000 10230000000000 10240000000000
    160.0000  10000000000 10230000000000 10240000000000
    170.0000  10000000000 10230000000000 10240000000000
    180.0000  10000000000 10230000000000 10240000000000
    190.0000  10000000000 10230000000000 10240000000000
    200.0000  10000000000 10230000000000 10240000000000
    210.0000  10000000000 10230000000000 10240000000000
    220.0000  10000000000 10230000000000 10240000000000
    230.0000  10000000000 10230000000000 10240000000000
    240.0000  10000000000 10230000000000 10240000000000
    250.0000  10000000000 10230000000000 10240000000000
    260.0000  10000000000 10230000000000 10240000000000
    270.0000  10000000000 10230000000000 10240000000000
    280.0000  10000000000 10230000000000 10240000000000
    290.0000  10000000000 10230000000000 10240000000000
    300.0000  10000000000 10230000000000 10240000000000
    310.0000  10000000000 10230000000000 10240000000000
    320.0000  10000000000 10230000000000 10240000000000
    330.0000 1279998303063 8960001696937 10240000000000
    340.0000 10020371904930 219628095070 10240000000000
    350.0000 9960000000000 280000000000 10240000000000
    360.0000 9797938073572 442061926428 10240000000000
    370.0000 9229969351692 1010030648308 10240000000000
    380.0000 9035817468016 1204182531984 10240000000000
    390.0000 8794000987534 1445999012466 10240000000000
    400.0000 8613447595821 1626552404179 10240000000000
    410.0000 8412817073873 1827182926127 10240000000000
    420.0000 8231305195318 2008694804682 10240000000000
    430.0000 8045223708691 2194776291309 10240000000000
    440.0000 7746398890605 2493601109395 10240000000000
    450.0000 7444434034738 2795565965262 10240000000000
    460.0000 7237068731361 3002931268639 10240000000000
    470.0000 7016507239204 3223492760796 10240000000000
    480.0000 6648998870631 3591001129369 10240000000000
    490.0000 6320228514860 3919771485140 10240000000000
    500.0000 6037871524154 4202128475846 10240000000000
    510.0000 5770454811772 4469545188228 10240000000000
    520.0000 5469199469293 4770800530707 10240000000000
    530.0000 5157467689474 5082532310526 10240000000000
    540.0000 4856608090183 5383391909817 10240000000000
    550.0000 4316067092260 5923932907740 10240000000000
    560.0000 3818527441804 6421472558196 10240000000000
    570.0000 3165261906921 7074738093079 10240000000000
    580.0000 2610967639352 7629032360648 10240000000000
    590.0000 1768255046831 8471744953169 10240000000000
    600.0000 3154572613183 7085427386817 10240000000000
    610.0000 10168789893622  71210106378 10240000000000
    620.0000 9984589012022 255410987978 10240000000000
    630.0000 9954858327742 285141672258 10240000000000
    640.0000 9829225293008 410774706992 10240000000000
    650.0000 9664840241120 575159758880 10240000000000
    660.0000 9466251165375 773748834625 10240000000000
    670.0000 9179974200763 1060025799237 10240000000000
    680.0000 8989609559682 1250390440318 10240000000000
    690.0000 8796614209327 1443385790673 10240000000000
    700.0000 8567847602691 1672152397309 10240000000000
    710.0000 8328571081882 1911428918118 10240000000000
    720.0000 8110985241005 2129014758995 10240000000000
    730.0000 7866719108598 2373280891402 10240000000000
    740.0000 7618172347077 2621827652923 10240000000000
    750.0000 7374810037382 2865189962618 10240000000000
    760.0000 7069012983709 3170987016291 10240000000000
    770.0000 6777770761251 3462229238749 10240000000000
    780.0000 6498028895262 3741971104738 10240000000000
    790.0000 6050887590682 4189112409318 10240000000000
    800.0000 5606400865732 4633599134268 10240000000000
    810.0000 4984178036494 5255821963506 10240000000000
    820.0000 4478820024022 5761179975978 10240000000000
    830.0000 4061840561758 6178159438242 10240000000000
    840.0000 3576244453014 6663755546986 10240000000000
    850.0000 2902986042199 7337013957801 10240000000000
    860.0000 2088428645173 8151571354827 10240000000000
    870.0000 996956510345 9243043489655 10240000000000
    880.0000 8999417069383 1240582930617 10240000000000
    890.0000 8350579224403 1889420775597 10240000000000
    900.0000 10230000000000  10000000000 10240000000000
    910.0000 10230000000000  10000000000 10240000000000
    920.0000 10225700803893  14299196107 10240000000000
    930.0000 10220000000000  20000000000 10240000000000
    940.0000 10220000000000  20000000000 10240000000000
    950.0000 5221385493066 5018614506934 10240000000000
    960.0000 6873573072934 3366426927066 10240000000000
    970.0000 10230000000000  10000000000 10240000000000
    980.0000 10230000000000  10000000000 10240000000000
    990.0000 10230000000000  10000000000 10240000000000
   1000.0000 10230000000000  10000000000 10240000000000
   1010.0000 10230000000000  10000000000 10240000000000
   1020.0000 10225784773575  14215226425 10240000000000
   1030.0000 10220000000000  20000000000 10240000000000
   1040.0000 10220000000000  20000000000 10240000000000
   1050.0000 7932186261290 2307813738710 10240000000000
   1060.0000 4427487815603 5812512184397 10240000000000
   1070.0000 8502380028825 1737619971175 10240000000000
   1080.0000 10230000000000  10000000000 10240000000000
   1090.0000 10230000000000  10000000000 10240000000000
   1100.0000 10230000000000  10000000000 10240000000000
   1110.0000 10229083713507  10916286493 10240000000000
   1120.0000 10220000000000  20000000000 10240000000000
   1130.0000 10220000000000  20000000000 10240000000000
   1140.0000 8636379757114 1603620242886 10240000000000
   1150.0000 1384967558204 8855032441796 10240000000000
   1160.0000 10230000000000  10000000000 10240000000000
   1170.0000 10230000000000  10000000000 10240000000000
   1180.0000 10230000000000  10000000000 10240000000000
   1190.0000 10230000000000  10000000000 10240000000000
   1200.0000 10230000000000  10000000000 10240000000000
   1210.0000 10230000000000  10000000000 10240000000000
   1220.0000 10230000000000  10000000000 10240000000000
   1230.0000 10226777990172  13222009828 10240000000000
   1240.0000 10220000000000  20000000000 10240000000000
   1250.0000 10219632355509  20367644491 10240000000000
   1260.0000 7788184929711 2451815070289 10240000000000
   1270.0000 5167735899702 5072264100298 10240000000000
   1280.0000 5413503444761 4826496555239 10240000000000
   1290.0000 10230000000000  10000000000 10240000000000
   1300.0000 10230000000000  10000000000 10240000000000
   1310.0000 10230000000000  10000000000 10240000000000
   1320.0000 10230000000000  10000000000 10240000000000
   1330.0000 10222343117101  17656882899 10240000000000
   1340.0000 10220000000000  20000000000 10240000000000
   1350.0000 10216118873124  23881126876 10240000000000
   1360.0000 2101714447170 8138285552830 10240000000000
   1370.0000 9522312819651 717687180349 10240000000000
   1380.0000 10230000000000  10000000000 10240000000000
   1390.0000 10230000000000  10000000000 10240000000000
   1400.0000 10230000000000  10000000000 10240000000000
   1410.0000 10230000000000  10000000000 10240000000000
   1420.0000 10230000000000  10000000000 10240000000000
   1430.0000 10230000000000  10000000000 10240000000000
   1440.0000 10227824491631  12175508369 10240000000000
   1450.0000 10220000000000  20000000000 10240000000000
   1460.0000 10220000000000  20000000000 10240000000000
   1470.0000 8516749168836 1723250831164 10240000000000
   1480.0000 5293171790529 4946828209471 10240000000000
   1490.0000 5096303525070 5143696474930 10240000000000
   1500.0000 10230000000000  10000000000 10240000000000
   1510.0000 10230000000000  10000000000 10240000000000
   1520.0000 10230000000000  10000000000 10240000000000
   1530.0000 10230000000000  10000000000 10240000000000
   1540.0000 10230000000000  10000000000 10240000000000
   1550.0000 10228616063517  11383936483 10240000000000
   1560.0000 10220000000000  20000000000 10240000000000
   1570.0000 10220000000000  20000000000 10240000000000
   1580.0000 7418470609624 2821529390376 10240000000000
   1590.0000 1172042149475 9067957850525 10240000000000
   1600.0000 10230000000000  10000000000 10240000000000
   1610.0000 10230000000000  10000000000 10240000000000
   1620.0000 10230000000000  10000000000 10240000000000
   1630.0000 10230000000000  10000000000 10240000000000
   1640.0000 10230000000000  10000000000 10240000000000
   1650.0000 10230000000000  10000000000 10240000000000
   1660.0000 10230000000000  10000000000 10240000000000
   1670.0000 10230000000000  10000000000 10240000000000
   1680.0000 10230000000000  10000000000 10240000000000
